id,emp1,emp2,type
3457,Randy Lind,Randy Lind,
3458,Rangatira Inc.,Rangatira Inc.,
3459,Raphael & Associates,Raphael & Associates,NULL
3460,Rapson Law Offices,Rapson Law Offices,
3461,Rapt.fm,Rapt.fm,
3462,Re/Max Active Realty,Re/Max Active Realty,NULL
3463,REACH INSTITUTE FOR SCHOOL LEADERSHIP,REACH INSTITUTE FOR SCHOOL LEADERSHIP,
3464,READING PARTNERS,READING PARTNERS,
3465,"Real Estate Info Recovery Systems, LLC","Real Estate Info Recovery Systems, LLC",
3466,"Realtech Financial Services, Inc","Realtech Financial Services, Inc",
3467,"Realtor Christina, Inc.","Realtor Christina, Inc.",
3468,Realty World East Bay,Realty World East Bay,
3469,Recology East Bay,Recology,
3470,Recology East Bay,Recology East Bay,NULL
3471,Recology INC.,Recology INC.,
3472,Recology Political Action Comittee,Recology Political Action Comittee,
3473,Recommind,Recommind,
3474,"Red Dipper, LLC","Red Dipper, LLC",NULL
3475,Red Oak Realty,Red Oak Realty,NULL
3476,Red Tower Capital,Red Tower Capital,
3477,Red Wagon Collectibles,Red Wagon Collectibles,
3478,Redio LLC,Redio LLC,
3479,REdpoint,REdpoint,
3480,Redwood Day School,Redwood Day School,NULL
3481,Reed Smith,Reed Smith,NULL
3482,Reed Smith LLP,Reed Smith LLP,NULL
3483,Regency Tower,Regency Tower,
3484,Regeneration,Regeneration,
3485,Regeneration Project,Regeneration Project,NULL
3486,Regenerative Ventures,Regenerative Ventures,NULL
3487,"Reginald A. Griggs, DDS","Reginald A. Griggs, DDS",
3488,"Regional Parking, Inc.","Regional Parking, Inc.",NULL
3489,Registrar of Voters,Registrar of Voters,
3490,REI,REI,
3491,Related Companies,Related Companies,
3492,Relevvant,Relevvant,NULL
3493,Rena Rickles,Rena Rickles,NULL
3494,Rena Rickles Attorney at Law,Rena Rickles Attorney at Law,
3495,Renaissance Entrepreneurship Center,Renaissance Entrepreneurship Center,NULL
3496,Renaissance Rialto,Renaissance Rialto,NULL
3497,"Renewable Funding, LLC",Renewable Funding,NULL
3498,"Renewable Funding, LLC","Renewable Funding, LLC",NULL
3499,"Renewable Funding, LLC","Renewable Funding, LLC.",
3500,"Renewable Management Corporation, LLC","Renewable Management Corporation, LLC",
3501,"Renne, Sloan, Holtzman, Sakai LLP",Renne Sloan Holtzman,
3502,"Renne, Sloan, Holtzman, Sakai LLP","Renne Holtzman, Sloan & Sakae",NULL
3503,"Renne, Sloan, Holtzman, Sakai LLP","Renne, Sloan, Holtzman, Sakai LLP",
3504,Rent-a-CFO,Rent-a-CFO,
3505,Rental Housing Association of Northern Alameda County PAC,Rental Housing Association of Northern Alameda County PAC,PAC
3506,REO Homes,REO Homes,
3507,"Reo Homes, LLC","Reo Homes, LLC",
3508,Republic services,Republic services,
3509,Requested,Requested,NULL
3510,Requested,requested,
3511,Resource Conservation PAC,Resource Conservation PAC,PAC
3512,Resource Development Associates,Resource Development Associates,
3513,Restore Hetch Hetchy,Restore Hetch Hetchy,NULL
3514,Retail,Retail,
3515,Retired,I am retired.,
3516,Retired,NA retired,NULL
3517,Retired,retired,NULL
3518,Retired,CCSF-retired,NULL
3519,Retired,REtired,NULL
3520,Retired,Retired,NULL
3521,Retired,RETIRED,
3522,Retired,retired (University of Washington_,
3523,Retired,Retired Oakland School Board Member/ A New America,
3524,Retired,"USN, Retired",
3525,Retired,Retired Federal Employee,
3526,Retired,retired Alameda County,
3527,"Reuben, Junius & Rose, LLP","Reuben & Junius, LLP",
3528,"Reuben, Junius & Rose, LLP","Reuben, Junius & Rose",
3529,"Reuben, Junius & Rose, LLP","Reuben, Junius & Rose LLP",
3530,"Reuben, Junius & Rose, LLP","Reuben, Junius & Rose, LLP",NULL
3531,REVOLUTION FOODS,REVOLUTION FOODS,
3532,RFCUNY,RFCUNY,
3533,RGH Consulting,RGH Consulting,
3534,RHKS65llc,RHKS65llc,
3535,Rhodium Group,Rhodium Group,
3536,Richard Avelar & Associates,Richard Avelar & Associates,
3537,Richard Cowan,Richard Cowan,NULL
3538,Richard J. Philips,Richard J. Philips,
3539,Richard L. Derby DBA College-Derby Co.,Richard L. Derby DBA College-Derby Co.,
3540,"Richardson & Patel, LLP","Richardson & Patel, LLP",NULL
3541,Richelle Lieberman,Richelle Lieberman,
3542,Richmond Housing Authority,Richmond Housing Authority,NULL
3543,Richmond Sanitary/Republic Services,Richmond Sanitary/Republic Services,NULL
3544,Rick Rickard,Rick Rickard,NULL
3545,Ricker,Ricker,NULL
3546,Ricoh Americas Corporation,Ricoh Americas Corporation,NULL
3547,Ridge Reef Properties,Ridge Reef Properties,
3548,Ridgemont Hospitality,Ridgemont Hospitality,
3549,Ridgewood Investments,Ridgewood Investments,
3550,Rimini Street,Rimini Street,NULL
3551,Rincon Group,Rincon Group,
3552,"Ringo Liu, Inc.","Ringo Liu, Inc.",NULL
3553,Riverbed Technology,Riverbed Technology,
3554,Riverside Office of Education,Riverside Office of Education,NULL
3555,RLI,RLI,
3556,"RLO Management Consultants, Inc.","RLO Management Consultants, Inc.",
3557,"RMC Geoscience, Inc.","RMC Geoscience, Inc.",
3558,Rob Bonta for State Assembly 2014,Rob Bonta for Assembly 2014,
3559,Rob Bonta for State Assembly 2014,Rob Bonta for State Assembly 2014,
3560,"Robert A. Raich, PC","Robert A. Raich, PC",
3561,Robert Harris,Robert Harris,NULL
3562,Robert Heywood,Robert Heywood,NULL
3563,Robert Mallder,Robert Mallder,
3564,Robert Yohai,Robert Yohai,
3565,Roberta Joyner,Roberta Joyner,
3566,Robin Mogavero,Robin Mogavero,
3567,Robin White Landscaping Co.,Robin White Landscaping Co.,
3568,Roble Partners,Roble Partners,
3569,Robson Homes,Robson Homes,
3570,Rock Creek Capital Group,Rock Creek Capital Group,
3571,Rocket Lawyer,Rocket Lawyer,NULL
3572,Rocket Reporting,Rocket Reporting,NULL
3573,Rocket Science Associates (self),Rocket Science Associates (self),
3574,Rockpoint Public Relations,Rockpoint Public Relations,NULL
3575,"Rockridge Geotechnical, Inc.","Rockridge Geotechnical, Inc.",
3576,"Rockridge Partners, Inc.","Rockridge Partners, Inc.",
3577,Rodan and Fields Skincare,Rodan and Fields Skincare,
3578,Rodan and Fields Skincare,Rodan+Fields independent consultant,
3579,Rodriguez-Arbelo Law Offices,Rodriguez-Arbelo Law Offices,
3580,Roger Boyer,Roger Boyer,
3581,Roger Huddlestone,Roger Huddlestone,
3582,Rogers Family Foundation,ROGERS FAMILY FOUNDATION,
3583,Rogers Family Foundation,Rogers Family Foundation,
3584,Rogers Family Office,Rogers Family Office,NULL
3585,ROJE Consulting LLC,ROJE Consulting LLC,
3586,"Rollington Ferguson, M.D.","Rollington Ferguson, M.D.",NULL
3587,Ron Wacker & Associates,Ron Wacker & Associates,NULL
3588,Ron Yee CPA,Ron Yee CPA,NULL
3589,Ronald Herron,Ronald Herron,NULL
3590,Roni Krouzman Consulting,Roni Krouzman Consulting,
3591,"Ronin Project Consultancy, LLC","Ronin Project Consultancy, LLC",NULL
3592,Roosevelt Institute,Roosevelt Institute,
3593,Root Labs,Root Labs,NULL
3594,Root Marketing Solutions,Root Marketing Solutions,
3595,"Roots of Change Project, Trust for Conservation In","Roots of Change Project, Trust for Conservation In",NULL
3596,Ropes & Gray LLP,Ropes & Gray LLP,
3597,Rosa Pistola,Rosa Pistola,
3598,Rosales Law Partners LLP,Rosales Law Partners LLP,NULL
3599,Rosanna Chan,Rosanna Chan,
3600,Roscoes Chicken and Waffles,Roscoes Chicken and Waffles,NULL
3601,Rose International,Rose International,
3602,Rose Kapolczynski Consulting,Rose Kapolczynski Consulting,NULL
3603,Rose's Daycare,Rose's Daycare,NULL
3604,Rosenberg & Associates,Rosenberg & Assoc,
3605,Rosenberg & Associates,Rosenberg & Associates,
3606,Rosenberg Foundation,Rosenberg Foundation,
3607,Rosendo Gamez,Rosendo Gamez,NULL
3608,Rosetta,Rosetta,NULL
3609,Rossi Communications,Rossi Communications,
3610,Rothschild and Self,Rothschild and Self,NULL
3611,Rowland Management,Rowland Management,
3612,Rowland Property Management,Rowland Property Management,
3613,RPM Mortgage,RPM Mortgage,NULL
3614,RRE,RRE,
3615,RTI International,RTI,
3616,RTI International,RTI International,NULL
3617,Rubicon Point Partners,Rubicon Point Partners,
3618,Rudney Associates,Rudney Associates,
3619,"Ruggieri, Jensen, Azar","Ruggieri, Jensen, Azar",
3620,Rukin Hyland Doria & Tindall,Rukin Hyland Doria & Tindall,NULL
3621,Running for a Better Oakland,Running for a Better Oakland,NULL
3622,RUSD,RUSD,
3623,Rush Property Group,Rush Property Group,
3624,Russell Gordon Communications,Russell Gordon Communications,
3625,Russo Mediation and Law,Russo Mediation and Law,NULL
3626,Russo Mediation and Law,Russo Law and Mediation,NULL
3627,Ruth Craig,Ruth Craig,
3628,"RYLO Consulting, LLC","RYLO Consulting, LLC",
3629,S & S Trucking,S & S Trucking,
3630,"S.D. Bechtel, Jr Foundation","S.D. Bechtel, Jr Foundation",NULL
3631,S/E,S/E,
3632,S&H Properties,S&H Properties,
3633,S&S Supplies and Solutions,S&S Supplies and Solutions,
3634,Sabre Foods,Sabre Foods,
3635,Sabrina Foster,Sabrina Foster,NULL
3636,Sabrina Shane,Sabrina Shane,
3637,"Sack Rosendin, LLP","Sack Rosendin, LLP",
3638,Sacramento Advocates,Sacramento Advocates,NULL
3639,Sacred Heart Cathedral,Sacred Heart Cathedral,
3640,SADDLE CREEK,SADDLE CREEK,
3641,Saddler Family Dentistry,Saddler Family Dentistry,NULL
3642,Safe Passages,Safe Passages,
3643,Safer California Foundation,Safer California Foundation,
3644,Safeway Inc.,Safeway,NULL
3645,Safeway Inc.,Safeway Inc.,NULL
3646,"Sagarchi Enterprises, Inc.",Sagarchi Enterprises Inc.,
3647,"Sagarchi Enterprises, Inc.","Sagarchi Enterprises, Inc.",
3648,Sage Hospitality,Sage Hospitality,NULL
3649,Sage Motel,Sage Motel,
3650,Sageview,sageview,NULL
3651,Saigon Printing,Saigon Printing,NULL
3652,Saint Mary's College,Saint Mary's College,
3653,Saints Capital,Saints Capital,NULL
3654,Salem Lutheran Home,Salem Lutheran Home,NULL
3655,Salesforce,salesforce.com,NULL
3656,Salesforce,Salesforce,NULL
3657,Salesforce,Salesforce.com,NULL
3658,Salles Group,Salles Group,
3659,Sam & Betty Trading Co.,Sam & Betty Trading Co.,
3660,Sam Clar Office Furniture,Sam Clar Office Furniture,NULL
3661,Sam Kang for Assembly 2014,Sam Kang for Assembly 2014,
3662,Sammie Dukes Law Offices,Sammie Dukes Law Offices,NULL
3663,"Samson Energy Co, LLC",Samson Energy,
3664,"Samson Energy Co, LLC","Samson Energy Co, LLC",NULL
3665,Samsung Electronics,Samsung Electronics,
3666,Samsung Herbs and Conditioning,Samsung Herbs and Conditioning,NULL
3667,Samuel Merritt University,Samuel Merritt University,
3668,Samuelian Investments,Samuelian Investments,
3669,San Diego Imperial Counties Labor Council,San Diego Imperial Counties Labor Council,
3670,San Francisco Arts Newspaper,SF Arts Newspaper,NULL
3671,San Francisco Association of Realtors,San Francisco Association of Realtors,
3672,San Francisco Bar Pilots,San Francisco Bar Pilots,Union
3673,San Francisco Cab Company,San Francisco Cab Company,
3674,San Francisco Chamber of Commerce,SF Chamber of Commerce,NULL
3675,San francisco Classical Voice,San francisco Classical Voice,NULL
3676,San Francisco Conservation Corps,San Francisco Conservation Corps,
3677,San Francisco County Superior Court,San Francisco County Superior Court,NULL
3678,San Francisco County Transportation Authority,San Francisco County Transportation Authority,
3679,San Francisco County Transportation Authority,SF County Transportation Authority,
3680,San Francisco Dental Office,San Francisco Dental Office,
3681,San Francisco Department of Public Health,San Francisco Department of Public Health,NULL
3682,San Francisco Department of Public Health,SF Department of Health,
3683,San Francisco Department of Public Health,SF Dept. of Public Health,
3684,San Francisco Department of the Environment,San Francisco Department of the Environment,
3685,San Francisco Design Center,SF Design Center,
3686,San Francisco District Attorney's Office,San Francisco District Attorney's Office,
3687,San Francisco Examiner,San Francisco Examiner,NULL
3688,San Francisco Fire Department,San Francisco Fire Department,NULL
3689,San Francisco Fire Department,SF Fire,NULL
3690,San Francisco Fire Fighters PAC,San Francisco Fire Fighters PAC,Union
3691,San Francisco General Hospital,San Francisco General Hospital,NULL
3692,San Francisco General Hospital,SF General Hospital,NULL
3693,San Francisco Human Services Agency,San Francisco Human Services Agency,NULL
3694,San Francisco International Airport,San Francisco International Airport,NULL
3695,San Francisco Laborer's Local 261 PAC,San Francisco Laborer's Local 261 PAC,Union
3696,San Francisco Laborer's Local 261 PAC,San Francisco Laborer's Local 261 PAC-id #981076,Union
3697,San Francisco Opera,SF Opera,
3698,San Francisco Parking,San Francisco Parking,
3699,San Francisco Parks Alliance,San Francisco Parks Alliance,
3700,San Francisco Parks Alliance,SF Parks Alliance,
3701,San Francisco Police Officers Association PAC,San Francisco Police Officers Association PAC,Union
3702,San Francisco Public Utilities Company,San Francisco Public Utilities Company,
3703,San Francisco Regional Center,San Francisco Regional Center,NULL
3704,San Francisco Regional Center,SF Regional Center,NULL
3705,San Francisco Regional Center,san francisco regional center,NULL
3706,San Francisco Regional Center,SFRC,NULL
3707,San Francisco Regional Center,"San Francisco Regional Center, LLC",
3708,San Francisco SPCA,SF SPCA,NULL
3709,San Francisco State,San Francisco State,NULL
3710,San Francisco State University,San Francisco State University,
3711,San Francisco Unified School District,San Francisco Unified School District,
3712,San Francisco Unified School District,SF Unified School District,
3713,San Francisco Veterans Hospital,SF Veterans Hospital,NULL
3714,San Francisco Zen Center,SF Zen Center,
3715,San Francisco Zoo,San Francisco Zoo,
3716,San Jose State University,San Jose State,NULL
3717,San Jose State University,San Jose State University,NULL
3718,"San Jose State University and Producers Associates, Inc.","San Jose State University and Producers Associates, Inc.",
3719,San Leandro Braces,San Leandro Braces,NULL
3720,San Leandro Hospital,San Leandro Hospital,
3721,San Leandro School District,San Leandro School District,
3722,SAN LEANDRO UNIFIED SCHOOL DISTRICT,SAN LEANDRO UNIFIED SCHOOL DISTRICT,
3723,San Mateo County Probation Department,San Mateo County Probation Department,NULL
3724,San Rafael City Schools,San Rafael City Schools,
3725,San Ramon Hosptial,San Ramon Hosptial,
3726,San Ramon Regional Medical Center,San Ramon Regional Medical Center,NULL
3727,Sandia National Laboratories,Sandia National Lab,
3728,Sandia National Laboratories,Sandia National Laboratories,
3729,Sanofi Aventis,Sanofi Aventis,
3730,SANSOME PARTNERS LLC,SANSOME PARTNERS LLC,
3731,Santa Clara Family Dental Inc.,Santa Clara Family Dental Inc.,
3732,Santa Clara University of Law,Santa Clara University of Law,NULL
3733,Santa Clara Valley Medical Center,Santa Clara Valley Medical Center,
3734,Santa Clara Valley Water,Santa Clara Valley Water,NULL
3735,Santa Clara VTA,Santa Clara VTA,
3736,Santa Rosa Memorial Hospital,Santa Rosa Memorial Hospital,
3737,Santos Law,Santos Law,
3738,Sarco Construction,Sarco,
3739,Sarco Construction,Sarco Construction,NULL
3740,SARETTA & TAELOR TRUCKING,SARETTA & TAELOR TRUCKING,NULL
3741,Satellite Affordable Housing,Satellite Affordable Housing,NULL
3742,Savemart,Savemart,NULL
3743,SCB & Company,SCB & Company,
3744,Schiller Consulting,Schiller Consulting,NULL
3745,Schmier Industrial Properties,Schmier Industrial Properties,NULL
3746,"Schnitzer Steele Industries, Inc.",Schnitzer Steel Industries/Pick-n-Pull,
3747,"Schnitzer Steele Industries, Inc.",Schnitzer Steel Industries,
3748,"Schnitzer Steele Industries, Inc.",Schnitzer Steel,
3749,"Schnitzer Steele Industries, Inc.",Schnitzer Steel Products of California Inc,
3750,"Schnitzer Steele Industries, Inc.","Schnitzer Steele Industries, Inc.",
3751,SCHOOLZILLA,SCHOOLZILLA,
3752,Schulman Marketing,dSchulman Marketing,NULL
3753,SCI Consulting Group,SCI Consulting,
3754,SCI Consulting Group,SCI Consulting Group,NULL
3755,SCI Consulting Group,SCI CONSULTING GROUP,
3756,SCIenergy,SCIenergy,NULL
3757,Scientific Learning,Scientific Learning,
3758,SCN Strategies,SCN Strategies,NULL
3759,Scola,Scola,
3760,Scott Law Firm,Scott Law Firm,
3761,Scott McKinzie,Scott McKinzie,
3762,Scott st housing,Scott st housing,
3763,Scott's Seafood Restaurants,Scott's Seafood,
3764,Scott's Seafood Restaurants,Scott's Seafood Restaurants,NULL
3765,Sea Change Foundation,Sea Change Foundation,NULL
3766,"Security Central, Inc.","Security Central, Inc.",NULL
3767,See Forward Fund  Inc.,See Forward Fund  Inc.,
3768,SEED school of Maryland,SEED school of Maryland,
3769,Sefton Boyars CPA,Sefton Boyars CPA,
3770,SEIU,SEIU,Union
3771,SEIU Local 1021,SEIU 1021,Union
3772,SEIU Local 1021,SEIU Local 1021,Union
3773,SEIU Local 87 Political Action Committee,SEIU Local 87 Political Action Committee,Union
3774,SEIU United Long Term Care Workers Local 6434 State PAC Small Contributor Committee,SEIU United Long Term Care Workers Local 6434 State PAC Small Contributor Committee,Union
3775,SEIU-UHW WEST,SEIU-UHW WEST,Union
3776,Self Employed,Joshua Stenzel (self employed),
3777,Self Employed,Pamela Dernham (self employed),
3778,Self Employed,Rodrick Hipskind (self employed),
3779,Self Employed,Self - Adams,
3780,Self Employed,Self - Barger,
3781,Self Employed,Self - Burke,
3782,Self Employed,Self - Gates,
3783,Self Employed,Self - Grimes,
3784,Self Employed,Self - Raphael,
3785,Self Employed,Self (Marcy Adelman PhD),
3786,Self Employed,"Self (Ralph Elliott Rickard - Caldwell Securities, Inc.)",
3787,Self Employed,Independent,
3788,Self Employed,Self - Calhoun,
3789,Self Employed,Greg - Self-employedJoan - Law Offices of Leona L. Lauder,
3790,Self Employed,Self  - Watkins,
3791,Self Employed,Self - Anderson,
3792,Self Employed,Self - Antaramian,
3793,Self Employed,Self - Barry,
3794,Self Employed,Self - Beard,
3795,Self Employed,Self - Bennett,
3796,Self Employed,Self - Berner,
3797,Self Employed,Self - Bruck,
3798,Self Employed,Self - Calacanis,
3799,Self Employed,Self - Cherry,
3800,Self Employed,Self - Christmas,
3801,Self Employed,Self - Colin,
3802,Self Employed,Self - Daniels,
3803,Self Employed,Self - Davenport,
3804,Self Employed,Self - Davidson,
3805,Self Employed,Self - Divine,
3806,Self Employed,Self - Droste,
3807,Self Employed,Self - Dykstra,
3808,Self Employed,Self - Evertsz,
3809,Self Employed,Self - Ewing,
3810,Self Employed,Self - Ferreira,
3811,Self Employed,Self - Ford,
3812,Self Employed,Self - Gupta,
3813,Self Employed,Self - Hsieh,
3814,Self Employed,Self - Husain,
3815,Self Employed,Self - Hwang,
3816,Self Employed,Self - Jeffrey,
3817,Self Employed,Self - Kauffman,
3818,Self Employed,Self - Kleefeld,
3819,Self Employed,Self - Koppelman,
3820,Self Employed,Self - McCalla,
3821,Self Employed,Self - McDowell,
3822,Self Employed,Self - Meyer,
3823,Self Employed,Self - Miller,
3824,Self Employed,Self - Morris,
3825,Self Employed,Self - Ozberker,
3826,Self Employed,Self - Parker,
3827,Self Employed,Self - Partovi,
3828,Self Employed,Self - Rickels,
3829,Self Employed,Self - Rosati,
3830,Self Employed,Self - Rossitto,
3831,Self Employed,Self - Rushing,
3832,Self Employed,Self - Sadr,
3833,Self Employed,Self - Sensel,
3834,Self Employed,Self - Smith,NULL
3835,Self Employed,Self - Smothers,
3836,Self Employed,Self - Stansbury,
3837,Self Employed,Self - Thomas,
3838,Self Employed,Self - Thompson,
3839,Self Employed,Self - Timken,
3840,Self Employed,Self - Tran,
3841,Self Employed,Self - Volkmann,
3842,Self Employed,Self - Voorhees,
3843,Self Employed,Self - Wash,
3844,Self Employed,Self - Weaver,
3845,Self Employed,Self - White,
3846,Self Employed,Self - Xaba,
3847,Self Employed,Self -Morris,
3848,Self Employed,Self (Elana Dykewomon Writings),
3849,Self Employed,Self - Attyah,NULL
3850,Self Employed,Self - Dierkx,NULL
3851,Self Employed,Self - Duncan,NULL
3852,Self Employed,Self - Fulford,NULL
3853,Self Employed,Self - Graff,NULL
3854,Self Employed,Self - Hightower-Gaskin,NULL
3855,Self Employed,Self - Holsey,NULL
3856,Self Employed,Self - Jensen,NULL
3857,Self Employed,Self - Johnson,NULL
3858,Self Employed,Self - Metoyer,NULL
3859,Self Employed,Self - Myers,NULL
3860,Self Employed,Self - Nwamu,NULL
3861,Self Employed,Self - Silverman,NULL
3862,Self Employed,Self - Tilford,NULL
3863,Self Employed,Self - Villarreal,NULL
3864,Self Employed,Self - Whitehouse,NULL
3865,Self Employed,Self - Wilkins,NULL
3866,Self Employed,Self - Wilson,NULL
3867,Self Employed,Self - Woodard,NULL
3868,Self Employed,Self - Wright,NULL
3869,Self Employed,Self - Wyatt,NULL
3870,Self Employed,Self -Kim,NULL
3871,Self Employed,Self employed,NULL
3872,Self Employed,Self-employed,NULL
3873,Self Employed,self-employed,NULL
3874,Self Employed,"Self-employed, No Separate Business Name",NULL
3875,Self Employed,SELF,NULL
3876,Self Employed,"sultant, Self-Employed",NULL
3877,Self Employed,Self,NULL
3878,Self Employed,self,NULL
3879,Self Employed,Self - Cox,NULL
3880,Self Employed,Self Employed,NULL
3881,Self Employed,Self-Employed,NULL
3882,Self Employed,Self- Employed,NULL
3883,Self Employed,Self=Employed,NULL
3884,Self Employed,SELF EMPLOYED,
3885,Self Employed,self employed,
3886,Self Employed,"Self Employed, Design In Mind",
3887,Self Employed,"self-employed, dba John Bennett Drees",
3888,Self Employed,"SELF-EMPLOYED, SAME NAME",
3889,Self Employed,SELF-EMPLOYED/SAME NAME,
3890,Self Employed,Self - McGowan,
3891,Self Employed,Self - Howard,
3892,Self Employed,SELF EMPLOYED/SAME NAME,
3893,Self Employed,Maria Churchill (self),
3894,Self Employed,"Terry Kupers, MD (self)",
3895,Self Employed,Self (American Healing),
3896,Self Employed,John Chalik (self employed),
3897,Self Employed,Self Employed/GM Remodeling,
3898,Self Employed,Self-O'Neal,
3899,Self Employed,Cedar Properties (Self),
3900,Self Employed,Self-emploted,
3901,Self Employed,Jeff Kelley (self),
3902,Self Employed,Self - McConnell,
3903,Self Employed,Self - Hutchison,
3904,Self Employed,Self - Stenson,
3905,Self Employed,Self - Dey Toth,
3906,Self-Help for the Elderly,Self-Help for the Elderly,
3907,Semiconductor Manufacturer,Semiconductor Manufacturer,NULL
3908,Semme Boutique,Semme Boutique,
3909,Sempervirens Fund,Sempervirens Fund,
3910,Sendto News,Sendto News,
3911,Sendtonews,Sendtonews,
3912,Seneca Center,Seneca,NULL
3913,Seneca Center,SENECA CENTER,
3914,Seneca Center,Seneca Center,
3915,SENECA FAMILY OF AGENCIES,SENECA FAMILY OF AGENCIES,
3916,Senior Program officer,Senior Program officer,
3917,"Sensor Platforms, Inc","Sensor Platforms, Inc",
3918,Sentient Energy,Sentient Energy,NULL
3919,"SENTRE Partners, Inc.","SENTRE Partners, Inc.",
3920,Sephora,Sephora,
3921,Service Employees International Union Local 1000 Candidate PAC Small Contributor Committee,Service Employees International Union Local 1000 Candidate PAC Small Contributor Committee,Union
3922,Service Employees International Union Local 1021,Service Employees International Union Local 1021,Union
3923,Service Employees International Union Local 1021,Service Employees International Union Local 1021 Issues PAC,Union
3924,Service Employees International Union Local 1021,Service Employees International Union Local 1021 Candidate PAC,Union
3925,Service Employees International Union Local 1021,Service Employees International Union Local 1021 Independent Expenditure PAC,Union
3926,Service Employees International Union Political Education and Action Fund (SEIU PEA) (MPO),Service Employees International Union Political Education and Action Fund (SEIU PEA) (MPO),Union
3927,"Service Employees International Union United Service Workers, Candidate PAC","Service Employees International Union United Service Workers, Candidate PAC",Union
3928,Sessions Salon,Sessions Salon,NULL
3929,Seton Med Center,Seton Med Center,
3930,Seven Post,Seven Post,NULL
3931,Seventeenth Street Studio,Seventeenth Street Studio,NULL
3932,Seyfarth Shaw LLP,Seyfarth Shaw LLP,NULL
3933,SF-Marin Food Bank,SF-Marin Food Bank,
3934,SFER ACTION NETWORK,SFER ACTION NETWORK,
3935,SFMTA,SFMTA,NULL
3936,SfunCube,SfunCube,
3937,SGA Associates,SGA Associates,NULL
3938,"SGK Real Estate Holdings, LLC","SGK Real Estate Holdings, LLC",
3939,Shad Engineers,Shad Engineers,
3940,Shah Kawasaki Assoc,Shah Kawasaki Assoc,
3941,Shahla Raffle,Shahla Raffle,
3942,Shahnaz Taplin-Chinoy & Associates,Shahnaz Taplin-Chinoy & Associates,
3943,SHAKIR-GILMORE FOR OAKLAND SCHOOL BOARD 2014,SHAKIR-GILMORE FOR OAKLAND SCHOOL BOARD 2014,
3944,Shamrock Real Estate,Shamrock Real Estate,NULL
3945,Shamrock Realty,Shamrock Realty,NULL
3946,Shamszad Construction & Development Inc.,Shamszad Construction & Development Inc.,
3947,Shan Dong Mandarin Restaurant,Shan Dong Mandarin Restaurant,
3948,Shannon-Leigh Associates,Shannon-Leigh Associates,
3949,Shanti Project,Shanti Project,
3950,Shap Capital,Shap Capital,
3951,ShareProgress,ShareProgress,NULL
3952,Sharlee Fox,Sharlee Fox,NULL
3953,Shashamane,Shashamane,
3954,Shawn R. King Plumbing,Shawn R. King Plumbing,NULL
3955,Shearman & Sterling,Shearman & Sterling,NULL
3956,Sheet Metal Workers International Association,Sheet Metal Worker's Association PAC,Union
3957,Sheet Metal Workers International Association,Sheet Metal Workers International Association,Union
3958,Sheet Metal Workers International Association,Sheet Metal Workers' International id# 859381,Union
3959,Sheet Metal Workers' International Association Local No. 104,Sheet Metal Workers International Association Local 104 PAC,Union
3960,Sheet Metal Workers' International Association Local No. 104,Sheet Metal Workers' International Association Local No. 104,Union
3961,Sheet Metal Workers' International Association Local No. 104,"Sheet Metal Workers' Intl Assoc, Local No. 104, PAC #850381",Union
3962,Sheila Wells  Chiropractor,Sheila Wells  Chiropractor,NULL
3963,Sheppard  Mullin  Richter & Hampton LLP,Sheppard  Mullin  Richter & Hampton LLP,NULL
3964,Sheppard  Mullin  Richter & Hampton LLP,Sheppard Mullin,NULL
3965,Sheppard  Mullin  Richter & Hampton LLP,Sheppard Mullin Richter & Hampton,NULL
3966,Sheppard  Mullin  Richter & Hampton LLP,"Sheppard, Mullin, Richter and Hampton",NULL
3967,Sheppard  Mullin  Richter & Hampton LLP,"Sheppard, Mullin, Richter & Hampton",NULL
3968,Sheppard  Mullin  Richter & Hampton LLP,"Sheppard, Mullin, Richter & Hampton LLP",
3969,Sheppard  Mullin  Richter & Hampton LLP,"Sheppard, Mullin, Richter& Hampton LLP",
3970,Sherry Wacker Art and Design,Sherry Wacker Art and Design,
3971,Sheryl Martin-Moe,Sheryl Martin-Moe,
3972,Ship Clerks Association Pac Fund ILWU Local 34,Ship Clerks Association Pac Fund ILWU Local 34,Union
3973,"Shirley Stith Insurance & Financial Services, Inc.","Shirley Stith Insurance & Financial Services, Inc.",
3974,"Shiyu Wang, DDS Inc.","Shiyu Wang, DDS Inc.",NULL
3975,Shoong Family Chinese Cultural Center,Shoong Family Chinese Cultural Center,
3976,"Shoreline Venture Management, LLC",Shoreline Venture Management,NULL
3977,"Shoreline Venture Management, LLC","Shoreline Venture Management, LLC",
3978,"Shoreline Venture Management, LLC",Shoreline Venture Managemetn,
3979,Shorenstein Properties LLC,Shorenstein Properties LLC,NULL
3980,Shorenstein Properties LLC,Shorestein Co,NULL
3981,Shornstein Realty Services LP,Shornstein Realty Services LP,
3982,Shot Spotter,Shot Spotter,
3983,"Shronts & Leiz, LLP","Shronts & Leiz, LLP",NULL
3984,"Shute, Mihaly & Weinberger","Shute, Mihaly & Weinberger",
3985,Shutterspeed Entertainment,Shutterspeed Entertainment,NULL
3986,Sideman & Bancroft,Sideman & Bancroft,NULL
3987,Sidley Law Group,Sidley Law Group,NULL
3988,Siegel & Yee,Siegel & Yee,NULL
3989,"Siegel, LeWitter, Malkani","Siegel, LeWitter, Malkani",
